Date,VS,Name,Accumulated Acceleration Load,Accumulated Acceleration Load / min,Exertions,Exertions / min,Changes of Orientation,Changes of Orientation / min,Distance (speed | High) (m),Distance (speed | Very high) (m),Distance (speed | Extreme) (m),SPRINT,CATEGORY
2025-06-15,OFF,Player J,0.0,,,,,,,,,0.0,OFF
2025-06-15,OFF,Player P,0.0,,,,,,,,,0.0,OFF
2025-06-15,OFF,Player I,0.0,,,,,,,,,0.0,OFF
2025-06-15,OFF,Player E,0.0,,,,,,,,,0.0,OFF
2025-06-15,OFF,Player I,0.0,,,,,,,,,0.0,OFF
2025-06-15,OFF,Player L,0.0,,,,,,,,,0.0,OFF
2025-06-15,OFF,Player G,0.0,,,,,,,,,0.0,OFF
2025-06-15,OFF,Player K,0.0,,,,,,,,,0.0,OFF
2025-06-16,OFF,Player J,0.0,,,,,,,,,0.0,OFF
2025-06-16,OFF,Player P,0.0,,,,,,,,,0.0,OFF
2025-06-16,OFF,Player I,0.0,,,,,,,,,0.0,OFF
2025-06-16,OFF,Player E,0.0,,,,,,,,,0.0,OFF
2025-06-16,OFF,Player I,0.0,,,,,,,,,0.0,OFF
2025-06-16,OFF,Player L,0.0,,,,,,,,,0.0,OFF
2025-06-16,OFF,Player G,0.0,,,,,,,,,0.0,OFF
2025-06-16,OFF,Player K,0.0,,,,,,,,,0.0,OFF
2025-06-17,OFF,Player J,0.0,,,,,,,,,0.0,OFF
2025-06-17,OFF,Player P,0.0,,,,,,,,,0.0,OFF
2025-06-17,OFF,Player I,0.0,,,,,,,,,0.0,OFF
2025-06-17,OFF,Player E,0.0,,,,,,,,,0.0,OFF
2025-06-17,OFF,Player I,0.0,,,,,,,,,0.0,OFF
2025-06-17,OFF,Player L,0.0,,,,,,,,,0.0,OFF
2025-06-17,OFF,Player G,0.0,,,,,,,,,0.0,OFF
2025-06-17,OFF,Player K,0.0,,,,,,,,,0.0,OFF
2025-06-18,OFF,Player J,0.0,,,,,,,,,0.0,OFF
2025-06-18,OFF,Player P,0.0,,,,,,,,,0.0,OFF
2025-06-18,OFF,Player I,0.0,,,,,,,,,0.0,OFF
2025-06-18,OFF,Player E,0.0,,,,,,,,,0.0,OFF
2025-06-18,OFF,Player I,0.0,,,,,,,,,0.0,OFF
2025-06-18,OFF,Player L,0.0,,,,,,,,,0.0,OFF
2025-06-18,OFF,Player G,0.0,,,,,,,,,0.0,OFF
2025-06-18,OFF,Player K,0.0,,,,,,,,,0.0,OFF
2025-06-19,OFF,Player J,0.0,,,,,,,,,0.0,OFF
2025-06-19,OFF,Player P,0.0,,,,,,,,,0.0,OFF
2025-06-19,OFF,Player I,0.0,,,,,,,,,0.0,OFF
2025-06-19,OFF,Player E,0.0,,,,,,,,,0.0,OFF
2025-06-19,OFF,Player I,0.0,,,,,,,,,0.0,OFF
2025-06-19,OFF,Player L,0.0,,,,,,,,,0.0,OFF
2025-06-19,OFF,Player G,0.0,,,,,,,,,0.0,OFF
2025-06-19,OFF,Player K,0.0,,,,,,,,,0.0,OFF
2025-06-20,OFF,Player J,0.0,,,,,,,,,0.0,OFF
2025-06-20,OFF,Player P,0.0,,,,,,,,,0.0,OFF
2025-06-20,OFF,Player I,0.0,,,,,,,,,0.0,OFF
2025-06-20,OFF,Player E,0.0,,,,,,,,,0.0,OFF
2025-06-20,OFF,Player I,0.0,,,,,,,,,0.0,OFF
2025-06-20,OFF,Player L,0.0,,,,,,,,,0.0,OFF
2025-06-20,OFF,Player G,0.0,,,,,,,,,0.0,OFF
